Path, True_Label, Pred_Label, Confidence
datasets/cropped_val\筷子\img_1910_0.jpg, 25, 22, 0.9539
datasets/cropped_val\金属厨具\img_1820_0.jpg, 35, 25, 0.9285
datasets/cropped_val\污损塑料\img_2467_9.jpg, 18, 19, 0.9250
datasets/cropped_val\金属器皿\img_2566_7.jpg, 36, 35, 0.9223
datasets/cropped_val\调料瓶\img_15698_0.jpg, 31, 41, 0.9156
datasets/cropped_val\书籍纸张\img_18232_2.jpg, 1, 10, 0.9128
datasets/cropped_val\金属食品罐\img_16581_0.jpg, 37, 34, 0.9084
datasets/cropped_val\洗护用品\img_8049_0.jpg, 20, 32, 0.9075
datasets/cropped_val\食用油桶\img_15469_2.jpg, 41, 31, 0.9040
datasets/cropped_val\玻璃器皿\img_13624_3.jpg, 23, 12, 0.9008
datasets/cropped_val\陶瓷器皿\img_4419_1.jpg, 39, 28, 0.8980
datasets/cropped_val\塑料器皿\img_15515_1.jpg, 6, 31, 0.8978
datasets/cropped_val\调料瓶\img_15486_0.jpg, 31, 34, 0.8955
datasets/cropped_val\过期药物\img_19007_1.jpg, 33, 32, 0.8911
datasets/cropped_val\纸盒纸箱\img_14044_1.jpg, 26, 40, 0.8901
datasets/cropped_val\调料瓶\img_15560_0.jpg, 31, 34, 0.8887
datasets/cropped_val\饮料瓶\img_17917_1.jpg, 42, 31, 0.8851
datasets/cropped_val\洗护用品\img_16903_3.jpg, 20, 34, 0.8848
datasets/cropped_val\酒瓶\img_16156_0.jpg, 34, 23, 0.8836
datasets/cropped_val\软膏\img_19025_1.jpg, 32, 33, 0.8828
datasets/cropped_val\书籍纸张\img_10599_1.jpg, 1, 12, 0.8815
datasets/cropped_val\书籍纸张\img_6779_1.jpg, 1, 33, 0.8798
datasets/cropped_val\易拉罐\img_11466_0.jpg, 14, 37, 0.8792
datasets/cropped_val\污损用纸\img_001181_0.jpg, 19, 7, 0.8779
datasets/cropped_val\污损塑料\img_19095_1.jpg, 18, 32, 0.8767
datasets/cropped_val\调料瓶\img_15733_0.jpg, 31, 34, 0.8743
datasets/cropped_val\纸盒纸箱\img_9373_2.jpg, 26, 8, 0.8741
datasets/cropped_val\剩饭剩菜\img_6292_1.jpg, 3, 43, 0.8727
datasets/cropped_val\塑料器皿\img_5785_8.jpg, 6, 10, 0.8714
datasets/cropped_val\纸盒纸箱\img_14252_0.jpg, 26, 40, 0.8713
datasets/cropped_val\插头电线\img_19316_0.jpg, 12, 33, 0.8712
datasets/cropped_val\玻璃器皿\img_16383_3.jpg, 23, 34, 0.8699
datasets/cropped_val\软膏\img_18890_1.jpg, 32, 33, 0.8698
datasets/cropped_val\调料瓶\img_16152_0.jpg, 31, 34, 0.8695
datasets/cropped_val\鱼骨\img_6593_0.jpg, 43, 38, 0.8692
datasets/cropped_val\筷子\img_2378_11.jpg, 25, 22, 0.8674
datasets/cropped_val\干电池\img_18241_0.jpg, 10, 12, 0.8669
datasets/cropped_val\软膏\img_18678_0.jpg, 32, 33, 0.8661
datasets/cropped_val\书籍纸张\img_10598_1.jpg, 1, 12, 0.8641
datasets/cropped_val\菜帮菜叶\img_5464_1.jpg, 29, 18, 0.8632
datasets/cropped_val\塑料器皿\img_6292_2.jpg, 6, 43, 0.8622
datasets/cropped_val\过期药物\img_18830_0.jpg, 33, 32, 0.8604
datasets/cropped_val\筷子\img_1892_0.jpg, 25, 22, 0.8601
datasets/cropped_val\调料瓶\img_15487_0.jpg, 31, 34, 0.8573
datasets/cropped_val\枕头\img_12026_1.jpg, 15, 12, 0.8547
datasets/cropped_val\调料瓶\img_15830_0.jpg, 31, 34, 0.8545
datasets/cropped_val\插头电线\img_17157_2.jpg, 12, 25, 0.8544
datasets/cropped_val\菜帮菜叶\img_5144_0.jpg, 29, 18, 0.8537
datasets/cropped_val\陶瓷器皿\img_4360_1.jpg, 39, 28, 0.8526
datasets/cropped_val\陶瓷器皿\img_2334_1.jpg, 39, 3, 0.8508
datasets/cropped_val\金属厨具\img_2260_8.jpg, 35, 3, 0.8467
datasets/cropped_val\菜帮菜叶\img_5660_0.jpg, 29, 16, 0.8438
datasets/cropped_val\陶瓷器皿\img_2696_9.jpg, 39, 7, 0.8437
datasets/cropped_val\易拉罐\img_15167_1.jpg, 14, 10, 0.8434
datasets/cropped_val\蛋壳\img_6151_4.jpg, 30, 39, 0.8424
datasets/cropped_val\菜帮菜叶\img_5606_1.jpg, 29, 18, 0.8420
datasets/cropped_val\污损塑料\img_18569_1.jpg, 18, 10, 0.8396
datasets/cropped_val\剩饭剩菜\img_2421_1.jpg, 3, 39, 0.8390
datasets/cropped_val\干电池\img_18546_0.jpg, 10, 12, 0.8375
datasets/cropped_val\金属器皿\img_6646_2.jpg, 36, 39, 0.8368
datasets/cropped_val\枕头\img_12033_1.jpg, 15, 17, 0.8364
datasets/cropped_val\一次性快餐盒\img_4944_1.jpg, 0, 29, 0.8359
datasets/cropped_val\金属食品罐\img_16871_0.jpg, 37, 0, 0.8356
datasets/cropped_val\陶瓷器皿\img_4486_0.jpg, 39, 28, 0.8353
datasets/cropped_val\塑料器皿\img_2456_4.jpg, 6, 39, 0.8317
datasets/cropped_val\过期药物\img_18680_1.jpg, 33, 26, 0.8317
datasets/cropped_val\过期药物\img_18830_2.jpg, 33, 10, 0.8310
datasets/cropped_val\塑料器皿\img_2485_15.jpg, 6, 39, 0.8300
datasets/cropped_val\玻璃器皿\img_16383_4.jpg, 23, 34, 0.8300
datasets/cropped_val\陶瓷器皿\img_2783_1.jpg, 39, 9, 0.8265
datasets/cropped_val\蛋壳\img_5785_1.jpg, 30, 3, 0.8260
datasets/cropped_val\过期药物\img_19604_0.jpg, 33, 26, 0.8257
datasets/cropped_val\调料瓶\img_15503_0.jpg, 31, 34, 0.8257
datasets/cropped_val\剩饭剩菜\img_2230_0.jpg, 3, 0, 0.8185
datasets/cropped_val\污损塑料\img_16495_2.jpg, 18, 37, 0.8185
datasets/cropped_val\塑料器皿\img_2456_3.jpg, 6, 39, 0.8183
datasets/cropped_val\金属食品罐\img_16466_0.jpg, 37, 36, 0.8180
datasets/cropped_val\洗护用品\img_12998_3.jpg, 20, 1, 0.8167
datasets/cropped_val\蛋壳\img_6120_2.jpg, 30, 16, 0.8162
datasets/cropped_val\污损用纸\img_2583_9.jpg, 19, 43, 0.8143
datasets/cropped_val\饮料瓶\img_17917_0.jpg, 42, 31, 0.8143
datasets/cropped_val\金属器皿\img_6646_3.jpg, 36, 39, 0.8138
datasets/cropped_val\饮料瓶\img_18161_0.jpg, 42, 5, 0.8135
datasets/cropped_val\陶瓷器皿\img_2826_1.jpg, 39, 9, 0.8118
datasets/cropped_val\塑料玩具\img_12752_1.jpg, 7, 17, 0.8115
datasets/cropped_val\酒瓶\img_16132_0.jpg, 34, 31, 0.8111
datasets/cropped_val\书籍纸张\img_6779_2.jpg, 1, 2, 0.8102
datasets/cropped_val\陶瓷器皿\img_3008_4.jpg, 39, 9, 0.8101
datasets/cropped_val\陶瓷器皿\img_2650_20.jpg, 39, 38, 0.8068
datasets/cropped_val\枕头\img_12306_2.jpg, 15, 17, 0.8054
datasets/cropped_val\污损塑料\img_4643_1.jpg, 18, 28, 0.8035
datasets/cropped_val\污损塑料\img_4723_6.jpg, 18, 19, 0.8025
datasets/cropped_val\塑料器皿\img_2502_9.jpg, 6, 39, 0.8011
datasets/cropped_val\软膏\img_18730_0.jpg, 32, 33, 0.7967
